sequence_name,n_sequences,alignment_length,gamma_shape,prop_invariant,insertion_rate,deletion_rate,mean_insertion_length,mean_deletion_length,rf_length_distance
seq_1,144.72956662817128,662.000291119148,1.2811936637531824,0.1046776997082543,0.0126698034702252,0.0238916769558349,22.941498942602298,28.963394973382773,249.3763044202477
seq_2,181.5676295700142,215.97463350998856,0.9242774336652998,0.07335753724759,0.0105786681310816,0.0252218431631563,5.250298859413134,5.667220252156178,345.95298353272534
seq_3,190.69207087323252,918.5395175244752,0.7076682069773219,0.3610889082199617,0.0051209517627619,0.0046732680228189,2.740078526630477,3.4329927664822497,372.44310681923093
seq_4,185.04581140990408,441.70918836034775,0.7034076176769053,0.147536219017464,0.001691369718879,0.005691272989244,4.5818714510357825,5.730826637567914,355.24552913672494
seq_5,151.79357553568232,303.1373397554571,0.5459174000925991,0.0119195755719125,0.0013683706590432,0.0156697131095004,24.360856306978796,21.117289642498992,307.22074681374994
seq_6,182.18469913670944,1905.123855421257,1.2749898549425318,0.2770389071019177,0.013459331670627,0.0126123327297177,1.870797207367526,2.420010223800153,346.9487194539676
seq_7,176.05828901371382,378.0994076193301,0.7397773909368671,0.1749520996985203,0.003632955131642,0.0079223333491693,3.617961682062872,4.589793236592383,338.5460459652822
seq_8,205.52684070850975,364.9182881993604,0.4289431333047429,0.8713210534657975,0.0274624846772417,0.003326529094911,1.9721307164750368,2.4208312907785237,397.3418983911894
seq_9,178.2854656406697,540.8654562965477,0.0356452212417103,0.6369920053036873,0.0008665916695831,0.0018053560856064,3.6472298002869423,4.571571650683083,345.26998694276335
seq_10,132.55976733803976,275.3475587096221,0.3832381979850119,0.2402279995639076,0.0022054594325146,0.0068117862252947,2.7162307442882483,3.504989864845589,277.0400469946853
seq_11,184.69092286224517,1653.0399601955587,0.8344673509613079,0.6294264335830322,0.0030228126630701,0.0015274797614872,2.658760832901309,3.521314171041448,358.73376323094936
seq_12,183.0051777800791,592.2825187346609,0.5826966868210481,0.8693698036739314,0.0037161506473502,0.0074106902994138,5.230397383134951,7.067339613597539,351.9387073954756
seq_13,183.101355449514,688.5742957184805,0.859311811612754,0.5188967694894799,0.0023142736133117,0.019432364869084,2.6458865696511857,3.5362230960473253,354.6668075876749
seq_14,177.65447593884284,561.8852701067966,0.6561489841154844,0.488984720583786,0.0141421972158139,0.0089114501449015,2.925790235710562,3.834778393703505,337.98977840309493
seq_15,179.367818690274,816.1847347349651,0.7576610027003937,0.0787605274073396,0.0173006693076146,0.0175553850656153,3.053807569602216,3.794324177284348,352.60267632029667
seq_16,180.71834459937645,1041.8466830701268,0.950035619642274,0.5112888420578289,0.0322862441573983,0.0095296440348989,2.4837894768547297,3.1131013316645397,345.5196195373293
seq_17,165.6053574446939,336.62310582888676,0.4305762235290861,0.0063679940479421,0.0148230046348417,0.0337075717657744,1.2731501541247057,1.4416373098783524,326.0981874054812
seq_18,50.868302323343215,406.1041787454432,1.547642548597184,-0.0588490869927188,0.0303976397659405,0.0747005325337891,1.7904263494731274,2.1782329089092727,54.01502281489392
seq_19,173.60966056932045,1302.0695008544974,1.5081069289882405,0.0816128820810321,0.0308647564428422,0.0101083143809257,4.092798978236828,4.953637456862362,340.0726512191026
seq_20,173.01920894727633,167.29754720829385,0.7394761374000066,0.0573489423183794,0.0002567540919596,0.0041839699385903,8.568864250200477,10.921316165979874,341.2805360920507
seq_21,182.5131644108129,1263.7371420154402,0.3788398612971748,0.8908979205866339,0.0089259361177429,0.0052688606272124,2.460529683437141,3.110177013834699,351.3382904674649
seq_22,185.7354065939107,909.6641075469375,0.4869871524079565,0.7840723790102716,0.001809064052189,0.003133717837575,3.665576614741783,4.719059449105663,357.2637658368996
seq_23,173.26776624739236,560.8177085450275,1.5370611888028325,0.2529840002185616,0.0305760230366567,0.0141155484044697,1.903940601545214,2.3567205429599003,342.478630557702
seq_24,185.47164855809103,847.099651245192,0.8632147418069482,0.2465334734816527,0.0078605552520752,0.0134387487587457,4.891396208850538,5.947934913174755,358.71547161675323
seq_25,166.3062820884534,165.3288876840506,0.7301441363889694,-0.0533691288545304,0.0191254873361236,0.0500066374729088,2.133983183267563,2.608565875243632,320.26254941319735
seq_26,182.05386463999807,629.0337170881659,0.6743778044817575,0.4779637730027608,0.0012226588006607,0.0062937961175504,4.497991365512446,5.652043349744455,348.8456632351774
seq_27,186.06259103928667,505.833584440547,0.2172767226597966,0.6643764124382019,0.0003559668609371,0.0023273749087463,11.296638096375812,12.757208886987977,362.43473577854144
seq_28,187.8813737197243,642.8612249920686,1.0543073217879422,0.3621480241006686,0.0023947439004363,0.0124723835964974,47.52821659921732,41.178856390444416,360.8728090108054
seq_29,179.2130209097797,207.68208998699168,1.323055134654082,0.3925119607936803,0.0050687841957424,0.0189925505217961,3.091853103231667,4.0607928979888746,346.306617246852
seq_30,185.658005673343,521.598031261893,0.6049671020477703,0.2130025934422114,0.0080617587843837,0.0081535556656053,2.7587024398725237,3.3651724110113266,364.7791519328431
